id,algorithm,vertices,total_cost,execution_time_ms,operation_count
1,Kruskal,5,248,1,482800,11
1,Prim,5,248,5,349200,6
2,Kruskal,6,100,0,102800,12
2,Prim,6,100,0,068200,7
3,Kruskal,7,71,0,092200,11
3,Prim,7,71,0,078200,6
4,Kruskal,8,137,0,114700,15
4,Prim,8,137,0,108700,8
5,Kruskal,9,197,0,133100,21
5,Prim,9,197,0,073700,11
6,Kruskal,30,379,0,308200,95
6,Prim,30,379,0,150000,48
7,Kruskal,60,909,0,947500,299
7,Prim,60,909,0,699200,154
8,Kruskal,90,1344,1,282900,384
8,Prim,90,1344,0,672000,192
9,Kruskal,120,2082,1,726300,552
9,Prim,120,2082,0,696000,277
10,Kruskal,150,2217,1,680200,696
10,Prim,150,2217,0,632200,346
11,Kruskal,180,2573,2,250000,968
11,Prim,180,2573,0,896200,490
12,Kruskal,210,3045,2,299000,856
12,Prim,210,3045,0,712000,425
13,Kruskal,230,3632,2,079600,1215
13,Prim,230,3632,0,965400,608
14,Kruskal,260,3964,2,433300,1236
14,Prim,260,3964,1,294400,622
15,Kruskal,290,4190,1,549100,1064
15,Prim,290,4190,1,416400,535
16,Kruskal,300,6488,2,026200,1415
16,Prim,300,6488,1,249900,702
17,Kruskal,370,7548,1,645300,1459
17,Prim,370,7548,1,544100,722
18,Kruskal,440,8727,2,856800,2205
18,Prim,440,8727,1,904800,1099
19,Kruskal,510,9962,3,662700,2229
19,Prim,510,9962,2,201000,1119
20,Kruskal,580,11270,2,659100,2579
20,Prim,580,11270,2,036500,1299
21,Kruskal,650,12428,4,057200,3450
21,Prim,650,12428,2,474100,1724
22,Kruskal,720,14881,2,970700,4106
22,Prim,720,14881,2,236800,2046
23,Kruskal,790,14950,3,030800,3782
23,Prim,790,14950,1,852200,1907
24,Kruskal,860,16586,3,613900,4965
24,Prim,860,16586,2,522900,2470
25,Kruskal,930,17336,7,228300,4718
25,Prim,930,17336,3,649600,2385
26,Kruskal,1000,27124,8,373300,3763
26,Prim,1000,27124,2,063400,1872
27,Kruskal,1500,42472,10,028600,5683
27,Prim,1500,42472,3,870800,2843
28,Kruskal,2000,57011,22,873200,7887
28,Prim,2000,57011,3,650400,3937
